"What is your profession?","cleaned_experience","Q01: Errors in Project planning/Lack of Proper Feasibility Study?","Q02: Corruption by Client's Representative?","Q03: Lack of Competence of The Engineers Team to Accord Approval/ Decision?","Q04: Inter Departmental Conflict?","Q05: Lack of Capacity of the Contractor?","Q06: Flawed Contracts/Contract Package?","Q07: Lack of Decision from the Top Management?","Q08: Contactors Lack of Understanding of the Work Scope (in BOQ) and Poor Quoted Rate?","Q09: Incorrect Project Cost Estimates by Consultants?","Q10: Unusual Increase in Material Price?","Q11: Constructability Issues Not Properly Addressed in Design?","Q12: Lack of Site Access to Initiate Work (Contractor)?","Q13: Errors or Lack of Clarity in Design/Specification?","Q14: Poor Work by the Subcontractors?","Q15: Court Cases?","Q16: Land Disputes?","Q17: Change in Masterplan after Start of Work?","Q18: Inadequate Allocation of Funds?","Q19: Corruption in Billing Process?","Q20: Lack of Transparency?","Q21: Low Profit Margin?","Q22: Import/Custom/LC Problem?","Q23: Security Problem?","Q24: Inflation?","Q25: Frequent Change in Management?","Q26: Inability to Provide Construction Yard to The Contractor?","Q27: Unexpected Geotechnical Condition?","Q28: Lack of Construction Safety Measures?","Q29: Delay in Rehabilitation and Relocation?","Q30: Delay in Approval of RDPP (Revised Development Project Proposal)?"
"Academician/Researcher",1,"Strongly Agree","Strongly Agree","Neutral","Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Disagree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Neutral","Disagree","Agree","Agree","Agree","Strongly Agree","Neutral","Neutral","Neutral","Agree","Strongly Agree","Agree","Agree","Neutral"
"Academician/Researcher",2,"Neutral","Disagree","Disagree","Agree","Agree","Neutral","Agree","Agree","Neutral","Agree","Neutral","Agree","Neutral","Agree","Disagree","Agree","Neutral","Agree","Agree","Agree","Neutral","Agree","Neutral","Agree","Agree","Neutral","Neutral","Neutral","Agree","Agree"
"Implementing Agency/ Developing Authority, Others",11,"Agree","Neutral","Disagree","Agree","Agree","Disagree","Agree","Agree","Neutral","Disagree","Agree","Disagree","Agree","Agree","Neutral","Agree","Agree","Neutral","Neutral","Agree","Disagree","Disagree","Disagree","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree"
"Implementing Agency/ Developing Authority",4,"Agree","Agree","Neutral","Agree","Agree","Neutral","Agree","Agree","Neutral","Agree","Agree","Neutral","Neutral","Agree","Neutral","Neutral","Agree","Neutral","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree"
"Consultant",1.2,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Agree","Agree","Disagree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree"
"Consultant",8,"Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"Implementing Agency/ Developing Authority",4,"Agree","Agree","Neutral","Strongly Agree","Neutral","Agree","Agree","Neutral","Agree","Agree","Neutral","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Strongly Agree","Agree","Neutral","Agree","Agree","Agree","Neutral","Agree","Agree","Neutral","Agree","Agree"
"Academician/Researcher",7,"Agree","Neutral","Agree","Agree","Agree","Neutral","Strongly agree","Agree","Strongly Agree","Agree","Agree","Disagree","Strongly Agree","Agree","Neutral","Neutral","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Neutral","Neutral","Neutral"
"Others",5,"Agree","Agree","Agree","Neutral","Agree","Agree","Strongly agree","Strongly Agree","Agree","Strongly Agree","Agree","Neutral","Neutral","Neutral","Agree","Agree","Neutral","Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Neutral","Agree","Neutral","Disagree","Disagree"
"Academician/Researcher",1,"Strongly Agree","Strongly Agree","Strongly Disagree","Agree","Neutral","Agree","Strongly agree","Neutral","Disagree","Neutral","Agree","Neutral","Neutral","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Neutral","Neutral","Agree","Agree","Disagree","Disagree","Agree","Disagree","Strongly Agree","Neutral"
